Player,Role,Age,Nationality,Batting Style,Bowling Style,Career Runs,Career Wickets,Strike Rate,Economy,Expected Auction Price,Base Price,Recent Form,Fitness Status,Fit Score,Availability,Risk,Value Rating,Reason
Rishabh Pant,Wicketkeeper-Batter,28,Indian,Left-hand bat,None,3200,0,148.5,0.0,16.5,2.0,Excellent,Fit,95,100%,Low,Recommended Target,"Explosive middle-order left-hander, elite glovework, and potential captaincy candidate to succeed Dhoni."
Trent Boult,Bowler,36,Overseas,Right-hand bat,Left-arm fast-medium,110,121,105.0,7.9,8.5,2.0,Excellent,Fit,92,100%,Low,High Value Option,Elite left-arm powerplay swing specialist who addresses CSK's historical lack of a world-class left-arm pacer.
Mitchell Starc,Bowler,36,Overseas,Left-hand bat,Left-arm fast,180,92,115.0,8.6,12.0,2.0,Good,Fit,88,90%,Medium,High Value Option,"Express pace, steep bounce, and lethal death-overs yorkers, though comes with a high price tag and fitness risk."
Ravichandran Ashwin,All-rounder,39,Indian,Right-hand bat,Right-arm offbreak,820,172,118.0,7.1,4.5,1.5,Good,Fit,94,100%,Low,Budget Option,"CSK alumnus with exceptional tactical intelligence, defensive off-spin control, and lower-order batting stability at Chepauk."
Quinton de Kock,Wicketkeeper-Batter,33,Overseas,Left-hand bat,None,3150,0,134.2,0.0,7.0,2.0,Good,Fit,85,100%,Low,Recommended Target,Aggressive overseas opener and solid keeper who can replicate Devon Conway's anchor-hitting profile.
Arshdeep Singh,Bowler,27,Indian,Left-hand bat,Left-arm fast-medium,45,77,80.0,8.7,13.5,2.0,Excellent,Fit,93,100%,Low,Recommended Target,"Premier Indian left-arm pacer, highly skilled in death overs bowling and new-ball swing. Long-term asset."
Jos Buttler,Wicketkeeper-Batter,35,Overseas,Right-hand bat,None,3580,0,147.5,0.0,14.0,2.0,Excellent,Fit,89,100%,Medium,High Value Option,"Match-winning opener, explosive scoring capability in the powerplay, and vast captaincy/leadership experience."
David Miller,Batter,36,Overseas,Left-hand bat,None,2850,0,139.2,0.0,6.5,1.5,Good,Fit,84,100%,Low,Budget Option,Proven middle-order finisher under pressure; handles spin well and offers strong support to Dube/Dhoni.
Washington Sundar,All-rounder,26,Indian,Left-hand bat,Right-arm offbreak,420,38,120.5,7.4,9.0,2.0,Good,Fit,91,100%,Low,Recommended Target,"Local Chennai talent, provides defensive powerplay off-spin and handy left-handed batting utility in middle-overs."
Yuzvendra Chahal,Bowler,35,Indian,Right-hand bat,Right-arm legbreak,40,205,55.0,7.7,8.0,2.0,Good,Fit,90,100%,Low,High Value Option,IPL's all-time leading wicket-taker. Solves CSK's missing wrist-spin puzzle and thrives in middle-overs wicket-taking.
T Natarajan,Bowler,34,Indian,Left-hand bat,Left-arm fast-medium,10,65,60.0,8.4,7.5,1.5,Good,Fit,92,100%,Medium,Recommended Target,"Tamil Nadu native, lethal yorker accuracy at the death. Complements Pathirana's slingy releases perfectly."
Khaleel Ahmed,Bowler,28,Indian,Right-hand bat,Left-arm fast-medium,5,68,50.0,8.5,7.0,1.5,Good,Fit,90,100%,Low,Budget Option,Experienced Indian left-arm bowler who creates angles across right-handers in powerplay matches.
